cbo2002;ncognitivo;nsocial;nmotor;nmed
111205;0,855292559;1;0,029950911;0,805494453
111210;0,855292559;1;0,029950911;0,805494453
111215;0,855292559;1;0,029950911;0,805494453
111220;0,855292559;1;0,029950911;0,805494453
111225;0,855292559;1;0,029950911;0,805494453
111230;0,855292559;1;0,029950911;0,805494453
111235;0,855292559;1;0,029950911;0,805494453
111240;0,855292559;1;0,029950911;0,805494453
111245;0,855292559;1;0,029950911;0,805494453
111250;0,855292559;1;0,029950911;0,805494453
111255;0,855292559;1;0,029950911;0,805494453
111405;0,855292559;1;0,029950911;0,805494453
142340;0,653470457;0,920531929;0;0,664768752
352410;0,653470457;0,920531929;0;0,664768752
352415;0,653470457;0,920531929;0;0,664768752
263105;0,653141141;0,908081949;0,111562334;0,673684614
241005;0,757728457;0,845519483;0,026378753;0,700149899
241010;0,757728457;0,845519483;0,026378753;0,700149899
241015;0,757728457;0,845519483;0,026378753;0,700149899
241020;0,757728457;0,845519483;0,026378753;0,700149899
241025;0,757728457;0,845519483;0,026378753;0,700149899
241030;0,757728457;0,845519483;0,026378753;0,700149899
241035;0,757728457;0,845519483;0,026378753;0,700149899
241040;0,757728457;0,845519483;0,026378753;0,700149899
241205;0,757728457;0,845519483;0,026378753;0,700149899
241210;0,757728457;0,845519483;0,026378753;0,700149899
241215;0,757728457;0,845519483;0,026378753;0,700149899
241220;0,757728457;0,845519483;0,026378753;0,700149899
241225;0,757728457;0,845519483;0,026378753;0,700149899
241230;0,757728457;0,845519483;0,026378753;0,700149899
241235;0,757728457;0,845519483;0,026378753;0,700149899
242205;0,757728457;0,845519483;0,026378753;0,700149899
242210;0,757728457;0,845519483;0,026378753;0,700149899
242215;0,757728457;0,845519483;0,026378753;0,700149899
242220;0,757728457;0,845519483;0,026378753;0,700149899
242225;0,757728457;0,845519483;0,026378753;0,700149899
242230;0,757728457;0,845519483;0,026378753;0,700149899
242235;0,757728457;0,845519483;0,026378753;0,700149899
242240;0,757728457;0,845519483;0,026378753;0,700149899
242245;0,757728457;0,845519483;0,026378753;0,700149899
242250;0,757728457;0,845519483;0,026378753;0,700149899
242405;0,757728457;0,845519483;0,026378753;0,700149899
242410;0,757728457;0,845519483;0,026378753;0,700149899
122405;0,594900072;0,829911232;0,089309037;0,613084158
123305;0,594900072;0,829911232;0,089309037;0,613084158
123410;0,596420705;0,829366565;0,020320298;0,605551024
142405;0,596420705;0,829366565;0,020320298;0,605551024
354210;0,596420705;0,829366565;0,020320298;0,605551024
123205;0,636393607;0,812451124;0,019992944;0,62181753
142320;0,600051761;0,808157563;0,073760912;0,60682932
352405;0,530118406;0,803758264;0,048167083;0,563957725
111105;0,700578213;0,801945806;0,114093229;0,664705827
111110;0,700578213;0,801945806;0,114093229;0,664705827
111115;0,700578213;0,801945806;0,114093229;0,664705827
111120;0,700578213;0,801945806;0,114093229;0,664705827
520105;0,603198886;0,781765759;0,024203589;0,593896132
354135;0,512869835;0,772305608;0,033661999;0,542309608
354145;0,512869835;0,772305608;0,033661999;0,542309608
354150;0,512869835;0,772305608;0,033661999;0,542309608
521105;0,512869835;0,772305608;0,033661999;0,542309608
223153;0,736798823;0,769860864;0,038627412;0,664951251
225133;0,736798823;0,769860864;0,038627412;0,664951251
251550;0,736798823;0,769860864;0,038627412;0,664951251
263110;0,577156723;0,763595104;0,089909486;0,581359423
263115;0,577156723;0,763595104;0,089909486;0,581359423
514115;0,577156723;0,763595104;0,089909486;0,581359423
354605;0,468295306;0,761209249;0,080588341;0,519729442
141405;0,58712858;0,753825784;0,053746801;0,579289852
142315;0,614457786;0,751693964;0,043635648;0,592375916
114405;0,675654829;0,749174118;0,110916421;0,63309898
131110;0,675654829;0,749174118;0,110916421;0,63309898
251535;0,695168078;0,73912394;0,029277617;0,630774913
515305;0,614402831;0,735537648;0,151188955;0,599733659
142205;0,617075861;0,726975858;0,027271751;0,583647989
251505;0,681451797;0,725609303;0,037675131;0,619749761
123405;0,551788449;0,725436509;0,08285071;0,553908985
224125;0,635398805;0,72504431;0,483786196;0,647229485
224135;0,635398805;0,72504431;0,483786196;0,647229485
515310;0,618229449;0,71869123;0,102945656;0,590504561
142415;0,579170763;0,717270434;0,05748643;0,563206894
20305;0,566556811;0,716916978;0,51520294;0,610481489
20310;0,566556811;0,716916978;0,51520294;0,610481489
21105;0,566556811;0,716916978;0,51520294;0,610481489
21110;0,566556811;0,716916978;0,51520294;0,610481489
131115;0,659311295;0,716590881;0,139449134;0,616678264
515320;0,613971293;0,716485143;0,079182282;0,584614527
131320;0,695184588;0,712640405;0,099187464;0,630269623
121005;0,624236643;0,71258527;0,020798953;0,582021775
123310;0,624236643;0,71258527;0,020798953;0,582021775
253305;0,64634949;0,711486876;0,052163642;0,59751107
354110;0,450274736;0,710048497;0,043040603;0,488367434
354120;0,450274736;0,710048497;0,043040603;0,488367434
20105;0,64386642;0,708248436;0,428723603;0,639754444
20110;0,64386642;0,708248436;0,428723603;0,639754444
20115;0,64386642;0,708248436;0,428723603;0,639754444
20205;0,64386642;0,708248436;0,428723603;0,639754444
420135;0,554758132;0,706093848;0,044843197;0,5445939
122305;0,594532073;0,705078781;0,07722228;0,5699216
141305;0,594532073;0,705078781;0,07722228;0,5699216
122510;0,595204651;0,704935074;0,184089378;0,582923811
122515;0,595204651;0,704935074;0,184089378;0,582923811
141520;0,595204651;0,704935074;0,184089378;0,582923811
131205;0,641301811;0,704172611;0,045139212;0,591474832
131210;0,641301811;0,704172611;0,045139212;0,591474832
131215;0,641301811;0,704172611;0,045139212;0,591474832
520110;0,552445233;0,703968048;0,133795708;0,553172909
142310;0,63698411;0,695971251;0,051640041;0,587148944
515105;0,608033061;0,694444835;0,08795274;0,575065175
251530;0,81188345;0,690206826;0,069367416;0,683298958
142305;0,531579733;0,688261151;0,163999304;0,540083379
251540;0,772646785;0,673202217;0,010002295;0,649069479
131105;0,665895045;0,669547439;0,104520202;0,600496595
239405;0,646327376;0,669163108;0,091951452;0,588140903
239410;0,646327376;0,669163108;0,091951452;0,588140903
239425;0,646327376;0,669163108;0,091951452;0,588140903
122705;0,642010152;0,668615639;0,029021841;0,578122695
122710;0,642010152;0,668615639;0,029021841;0,578122695
122715;0,642010152;0,668615639;0,029021841;0,578122695
122720;0,642010152;0,668615639;0,029021841;0,578122695
122730;0,642010152;0,668615639;0,029021841;0,578122695
122735;0,642010152;0,668615639;0,029021841;0,578122695
122740;0,642010152;0,668615639;0,029021841;0,578122695
122745;0,642010152;0,668615639;0,029021841;0,578122695
122750;0,642010152;0,668615639;0,029021841;0,578122695
122755;0,642010152;0,668615639;0,029021841;0,578122695
141705;0,642010152;0,668615639;0,029021841;0,578122695
141710;0,642010152;0,668615639;0,029021841;0,578122695
141715;0,642010152;0,668615639;0,029021841;0,578122695
