Município;2004;
RO-ALTA FLORESTA D OESTE;1610;
RO-ARIQUEMES;10291;
RO-CABIXI;367;
RO-CACOAL;9381;
RO-CEREJEIRAS;1335;
RO-COLORADO DO OESTE;1562;
RO-CORUMBIARA;558;
RO-COSTA MARQUES;564;
RO-ESPIGAO D OESTE;2980;
RO-GUAJARA-MIRIM;2838;
RO-JARU;6091;
RO-JI-PARANA;15820;
RO-MACHADINHO D OESTE;1746;
RO-NOVA BRASILANDIA D OESTE;992;
RO-OURO PRETO DO OESTE;3456;
RO-PIMENTA BUENO;5160;
RO-PORTO VELHO;101520;
RO-PRESIDENTE MEDICI;1436;
RO-RIO CRESPO;277;
RO-ROLIM DE MOURA;4955;
RO-SANTA LUZIA D OESTE;749;
RO-VILHENA;10290;
RO-SAO MIGUEL DO GUAPORE;1105;
RO-NOVA MAMORE;1012;
RO-ALVORADA D OESTE;1096;
RO-ALTO ALEGRE DOS PARECIS;512;
RO-ALTO PARAISO;740;
RO-BURITIS;1869;
RO-NOVO HORIZONTE DO OESTE;438;
RO-CACAULANDIA;312;
RO-CAMPO NOVO DE RONDONIA;307;
RO-CANDEIAS DO JAMARI;792;
RO-CASTANHEIRAS;249;
RO-CHUPINGUAIA;796;
RO-CUJUBIM;775;
RO-GOVERNADOR JORGE TEIXEIRA;362;
RO-ITAPUA DO OESTE;632;
RO-MINISTRO ANDREAZZA;509;
RO-MIRANTE DA SERRA;724;
RO-MONTE NEGRO;750;
RO-NOVA UNIAO;222;
RO-PARECIS;230;
RO-PIMENTEIRAS DO OESTE;237;
RO-PRIMAVERA DE RONDONIA;263;
RO-SAO FELIPE D OESTE;239;
RO-SAO FRANCISCO DO GUAPORE;948;
RO-SERINGUEIRAS;556;
RO-TEIXEIROPOLIS;334;
RO-THEOBROMA;429;
RO-URUPA;561;
RO-VALE DO ANARI;374;
RO-VALE DO PARAISO;447;
RO-IGNORADO;0;
AC-ACRELANDIA;603;
AC-ASSIS BRASIL;224;
AC-BRASILEIA;661;
AC-BUJARI;366;
AC-CAPIXABA;359;
AC-CRUZEIRO DO SUL;3172;
AC-EPITACIOLANDIA;870;
AC-FEIJO;859;
AC-JORDAO;2;
AC-MANCIO LIMA;295;
