Município;Total
RO-ALTA FLORESTA D OESTE;3088
RO-ARIQUEMES;17977
RO-CABIXI;693
RO-CACOAL;16832
RO-CEREJEIRAS;2207
RO-COLORADO DO OESTE;2277
RO-CORUMBIARA;1010
RO-COSTA MARQUES;983
RO-ESPIGAO D OESTE;5044
RO-GUAJARA-MIRIM;3930
RO-JARU;9139
RO-JI-PARANA;26769
RO-MACHADINHO D OESTE;3084
RO-NOVA BRASILANDIA D OESTE;1552
RO-OURO PRETO DO OESTE;5683
RO-PIMENTA BUENO;8901
RO-PORTO VELHO;164088
RO-PRESIDENTE MEDICI;2534
RO-RIO CRESPO;584
RO-ROLIM DE MOURA;10383
RO-SANTA LUZIA D OESTE;1138
RO-VILHENA;19589
RO-SAO MIGUEL DO GUAPORE;3010
RO-NOVA MAMORE;1804
RO-ALVORADA D OESTE;1347
RO-ALTO ALEGRE DOS PARECIS;1055
RO-ALTO PARAISO;1432
RO-BURITIS;3644
RO-NOVO HORIZONTE DO OESTE;740
RO-CACAULANDIA;547
RO-CAMPO NOVO DE RONDONIA;814
RO-CANDEIAS DO JAMARI;2079
RO-CASTANHEIRAS;361
RO-CHUPINGUAIA;1535
RO-CUJUBIM;1367
RO-GOVERNADOR JORGE TEIXEIRA;611
RO-ITAPUA DO OESTE;1216
RO-MINISTRO ANDREAZZA;867
RO-MIRANTE DA SERRA;1176
RO-MONTE NEGRO;1297
RO-NOVA UNIAO;473
RO-PARECIS;641
RO-PIMENTEIRAS DO OESTE;565
RO-PRIMAVERA DE RONDONIA;374
RO-SAO FELIPE D OESTE;466
RO-SAO FRANCISCO DO GUAPORE;1362
RO-SERINGUEIRAS;1295
RO-TEIXEIROPOLIS;457
RO-THEOBROMA;860
RO-URUPA;1055
RO-VALE DO ANARI;626
RO-VALE DO PARAISO;636
RO-IGNORADO;0
AC-ACRELANDIA;859
AC-ASSIS BRASIL;119
AC-BRASILEIA;2162
AC-BUJARI;1246
AC-CAPIXABA;680
AC-CRUZEIRO DO SUL;7696
AC-EPITACIOLANDIA;1504
AC-FEIJO;1776
AC-JORDAO;516
AC-MANCIO LIMA;734
AC-MANOEL URBANO;877
AC-MARECHAL THAUMATURGO;803
AC-PLACIDO DE CASTRO;1188
AC-PORTO WALTER;638
AC-RIO BRANCO;98399
AC-RODRIGUES ALVES;658
AC-SANTA ROSA DO PURUS;253
AC-SENADOR GUIOMARD;2212
AC-SENA MADUREIRA;1933
AC-TARAUACA;1752
AC-XAPURI;712
AC-PORTO ACRE;1420
AC-IGNORADO;0
AM-ALVARAES;563
AM-AMATURA;313
AM-ANAMA;418
AM-ANORI;605
AM-APUI;933
AM-ATALAIA DO NORTE;173
AM-AUTAZES;1329
AM-BARCELOS;833
AM-BARREIRINHA;1053
AM-BENJAMIN CONSTANT;1023
AM-BERURI;28
AM-BOA VISTA DO RAMOS;644
AM-BOCA DO ACRE;1836
AM-BORBA;1971
AM-CAAPIRANGA;888
AM-CANUTAMA;299
AM-CARAUARI;883
AM-CAREIRO;1079
AM-CAREIRO DA VARZEA;893
AM-COARI;8013
AM-CODAJAS;792
AM-EIRUNEPE;1395
AM-ENVIRA;674
AM-FONTE BOA;1841
AM-GUAJARA;753
AM-HUMAITA;2473
AM-IPIXUNA;376
AM-IRANDUBA;3960
AM-ITACOATIARA;7810
AM-ITAMARATI;355
