Município;Total;
RO-ALTA FLORESTA D OESTE;472;
RO-ARIQUEMES;3801;
RO-CABIXI;166;
RO-CACOAL;4417;
RO-CEREJEIRAS;409;
RO-COLORADO DO OESTE;691;
RO-CORUMBIARA;168;
RO-COSTA MARQUES;255;
RO-ESPIGAO D OESTE;1156;
RO-GUAJARA-MIRIM;1588;
RO-JARU;3094;
RO-JI-PARANA;8257;
RO-MACHADINHO D OESTE;442;
RO-NOVA BRASILANDIA D OESTE;444;
RO-OURO PRETO DO OESTE;1817;
RO-PIMENTA BUENO;2775;
RO-PORTO VELHO;72262;
RO-PRESIDENTE MEDICI;785;
RO-RIO CRESPO;60;
RO-ROLIM DE MOURA;2067;
RO-SANTA LUZIA D OESTE;321;
RO-VILHENA;4039;
RO-SAO MIGUEL DO GUAPORE;333;
RO-NOVA MAMORE;284;
RO-ALVORADA D OESTE;451;
RO-ALTO ALEGRE DOS PARECIS;0;
RO-ALTO PARAISO;158;
RO-BURITIS;0;
RO-NOVO HORIZONTE DO OESTE;106;
RO-CACAULANDIA;98;
RO-CAMPO NOVO DE RONDONIA;115;
RO-CANDEIAS DO JAMARI;64;
RO-CASTANHEIRAS;175;
RO-CHUPINGUAIA;0;
RO-CUJUBIM;0;
RO-GOVERNADOR JORGE TEIXEIRA;167;
RO-ITAPUA DO OESTE;385;
RO-MINISTRO ANDREAZZA;168;
RO-MIRANTE DA SERRA;89;
RO-MONTE NEGRO;206;
RO-NOVA UNIAO;0;
RO-PARECIS;0;
RO-PIMENTEIRAS DO OESTE;0;
RO-PRIMAVERA DA RONDONIA;0;
RO-SAO FELIPE D OESTE;0;
RO-SAO FRANCISCO DO GUAPORE;0;
RO-SERINGUEIRAS;43;
RO-TEIXEIROPOLIS;0;
RO-THEOBROMA;134;
RO-URUPA;226;
RO-VALE DO ANARI;0;
RO-VALE DO PARAISO;186;
RO-IGNORADO;1;
AC-ACRELANDIA;87;
AC-ASSIS BRASIL;14;
AC-BRASILEIA;321;
AC-BUJARI;183;
AC-CAPIXABA;33;
AC-CRUZEIRO DO SUL;1883;
AC-EPITACIOLANDIA;249;
AC-FEIJO;55;
AC-JORDAO;0;
AC-MANCIO LIMA;13;
AC-MANOEL URBANO;64;
AC-MARECHAL THAUMATURGO;112;
AC-PLACIDO DE CASTRO;369;
AC-PORTO WALTER;88;
AC-RIO BRANCO;48878;
AC-RODRIGUES ALVES;83;
AC-SANTA ROSA DO PURUS;62;
AC-SENADOR GUIOMARD;462;
AC-SENA MADUREIRA;471;
AC-TARAUACA;687;
AC-XAPURI;456;
AC-PORTO ACRE;87;
AC-IGNORADO;0;
AM-ALVARAES;11;
AM-AMATURA;9;
AM-ANAMA;8;
AM-ANORI;21;
AM-APUI;25;
AM-ATALAIA DO NORTE;24;
AM-AUTAZES;105;
AM-BARCELOS;307;
AM-BARREIRINHA;135;
AM-BENJAMIN CONSTANT;159;
AM-BERURI;11;
AM-BOA VISTA DO RAMOS;142;
AM-BOCA DO ACRE;205;
AM-BORBA;215;
AM-CAAPIRANGA;5;
AM-CANUTAMA;11;
AM-CARAUARI;55;
AM-CAREIRO;177;
AM-CAREIRO DA VARZEA;24;
AM-COARI;1249;
AM-CODAJAS;28;
AM-EIRUNEPE;119;
AM-ENVIRA;39;
AM-FONTE BOA;17;
AM-GUAJARA;15;
AM-HUMAITA;786;
AM-IPIXUNA;117;
AM-IRANDUBA;551;
AM-ITACOATIARA;3518;
AM-ITAMARATI;9;
AM-ITAPIRANGA;76;
AM-JAPURA;9;
AM-JURUA;5;
AM-JUTAI;319;
AM-LABREA;190;
AM-MANACAPURU;622;
AM-MANAQUIRI;76;
AM-MANAUS;214776;
AM-MANICORE;786;
AM-MARAA;15;
AM-MAUES;756;
AM-NHAMUNDA;258;
AM-NOVA OLINDA DO NORTE;262;
AM-NOVO AIRAO;164;
AM-NOVO ARIPUANA;8;
AM-PARINTINS;578;
AM-PAUINI;100;
AM-PRESIDENTE FIGUEIREDO;1727;
AM-RIO PRETO DA EVA;59;
AM-SANTA ISABEL DO RIO NEGRO;44;
AM-SANTO ANTONIO DO ICA;27;
AM-SAO GABRIEL DA CACHOEIRA;74;
AM-SAO PAULO DE OLIVENCA;28;
AM-SAO SEBASTIAO DO UATUMA;13;
AM-SILVES;31;
AM-TABATINGA;227;
AM-TAPAUA;8;
AM-TEFE;932;
AM-TONANTINS;8;
AM-UARINI;9;
AM-URUCARA;198;
AM-URUCURITUBA;260;
AM-IGNORADO;0;
RR-AMAJARI;0;
RR-ALTO ALEGRE;8;
RR-BOA VISTA;21418;
RR-BONFIM;9;
RR-CANTA;0;
RR-CARACARAI;173;
RR-CAROEBE;0;
RR-IRACEMA;0;
RR-MUCAJAI;127;
RR-NORMANDIA;6;
RR-PACARAIMA;0;
RR-RORAINOPOLIS;0;
RR-SAO JOAO DA BALIZA;12;
RR-SAO LUIZ;45;
RR-UIRAMUTA;0;
RR-IGNORADO;0;
PA-ABAETETUBA;1853;
PA-ABEL FIGUEIREDO;155;
PA-ACARA;485;
PA-AFUA;239;
PA-AGUA AZUL DO NORTE;72;
PA-ALENQUER;204;
PA-ALMEIRIM;4667;
PA-ALTAMIRA;2244;
PA-ANAJAS;14;
PA-ANANINDEUA;19336;
PA-ANAPU;0;
PA-AUGUSTO CORREA;295;
PA-AURORA DO PARA;79;
PA-AVEIRO;188;
PA-BAGRE;5;
PA-BAIAO;42;
PA-BANNACH;0;
PA-BARCARENA;5294;
PA-BELEM;264782;
PA-BELTERRA;0;
PA-BENEVIDES;1378;
PA-BOM JESUS DO TOCANTINS;574;
PA-BONITO;2;
PA-BRAGANCA;1378;
PA-BRASIL NOVO;71;
PA-BREJO GRANDE DO ARAGUAIA;112;
PA-BREU BRANCO;1050;
PA-BREVES;2800;
PA-BUJARU;238;
PA-CACHOEIRA DO PIRIA;0;
PA-CACHOEIRA DO ARARI;302;
PA-CAMETA;820;
PA-CANAA DOS CARAJAS;0;
PA-CAPANEMA;2465;
PA-CAPITAO POCO;553;
PA-CASTANHAL;7991;
PA-CHAVES;267;
PA-COLARES;2;
PA-CONCEICAO DO ARAGUAIA;1068;
PA-CONCORDIA DO PARA;487;
PA-CUMARU DO NORTE;96;
PA-CURIONOPOLIS;243;
PA-CURRALINHO;119;
PA-CURUA;0;
PA-CURUCA;418;
PA-DOM ELISEU;1597;
PA-ELDORADO DOS CARAJAS;118;
PA-FARO;134;
PA-FLORESTA DO ARAGUAIA;0;
PA-GARRAFAO DO NORTE;22;
PA-GOIANESIA DO PARA;107;
PA-GURUPA;12;
PA-IGARAPE-ACU;607;
PA-IGARAPE-MIRI;738;
PA-INHANGAPI;179;
PA-IPIXUNA DO PARA;151;
PA-IRITUIA;378;
PA-ITAITUBA;1523;
PA-ITUPIRANGA;160;
PA-JACAREACANGA;26;
PA-JACUNDA;624;
PA-JURUTI;57;
PA-LIMOEIRO DO AJURU;6;
PA-MAE DO RIO;589;
PA-MAGALHAES BARATA;234;
PA-MARABA;6899;
PA-MARACANA;195;
PA-MARAPANIM;315;
PA-MARITUBA;0;
PA-MEDICILANDIA;371;
PA-MELGACO;7;
PA-MOCAJUBA;16;
PA-MOJU;637;
PA-MONTE ALEGRE;690;
PA-MUANA;70;
PA-NOVA ESPERANCA DO PIRIA;81;
PA-NOVA IPIXUNA;0;
PA-NOVA TIMBOTEUA;277;
PA-NOVO PROGRESSO;137;
PA-NOVO REPARTIMENTO;131;
PA-OBIDOS;968;
PA-OEIRAS DO PARA;6;
PA-ORIXIMINA;4065;
PA-OUREM;251;
PA-OURILANDIA DO NORTE;182;
PA-PACAJA;4;
PA-PALESTINA DO PARA;130;
PA-PARAGOMINAS;7953;
PA-PARAUAPEBAS;5866;
PA-PAU D ARCO;22;
PA-PEIXE-BOI;111;
PA-PICARRA;0;
PA-PLACAS;0;
PA-PONTA DE PEDRAS;380;
PA-PORTEL;930;
PA-PORTO DE MOZ;34;
PA-PRAINHA;255;
PA-PRIMAVERA;343;
PA-QUATIPURU;0;
PA-REDENCAO;2541;
PA-RIO MARIA;496;
PA-RONDON DO PARA;2195;
PA-RUROPOLIS;40;
PA-SALINOPOLIS;556;
PA-SALVATERRA;177;
PA-SANTA BARBARA DO PARA;706;
PA-SANTA CRUZ DO ARARI;35;
PA-SANTA ISABEL DO PARA;3046;
PA-SANTA LUZIA DO PARA;335;
PA-SANTA MARIA DAS BARREIRAS;86;
PA-SANTA MARIA DO PARA;363;
