Município;Total
RO-ALTA FLORESTA D OESTE;864
RO-ARIQUEMES;5474
RO-CABIXI;268
RO-CACOAL;5832
RO-CEREJEIRAS;916
RO-COLORADO DO OESTE;945
RO-CORUMBIARA;276
RO-COSTA MARQUES;269
RO-ESPIGAO D OESTE;1055
RO-GUAJARA-MIRIM;30134
RO-JARU;3090
RO-JI-PARANA;11008
RO-MACHADINHO D OESTE;452
RO-NOVA BRASILANDIA D OESTE;428
RO-OURO PRETO DO OESTE;2398
RO-PIMENTA BUENO;3437
RO-PORTO VELHO;49789
RO-PRESIDENTE MEDICI;1064
RO-RIO CRESPO;91
RO-ROLIM DE MOURA;2770
RO-SANTA LUZIA D OESTE;320
RO-VILHENA;5737
RO-SAO MIGUEL DO GUAPORE;460
RO-NOVA MAMORE;317
RO-ALVORADA D OESTE;675
RO-ALTO ALEGRE DOS PARECIS;136
RO-ALTO PARAISO;187
RO-BURITIS;200
RO-NOVO HORIZONTE DO OESTE;221
RO-CACAULANDIA;129
RO-CAMPO NOVO DE RONDONIA;104
RO-CANDEIAS DO JAMARI;279
RO-CASTANHEIRAS;152
RO-CHUPINGUAIA;335
RO-CUJUBIM;200
RO-GOVERNADOR JORGE TEIXEIRA;192
RO-ITAPUA DO OESTE;298
RO-MINISTRO ANDREAZZA;222
RO-MIRANTE DA SERRA;340
RO-MONTE NEGRO;407
RO-NOVA UNIAO;7
RO-PARECIS;94
RO-PIMENTEIRAS DO OESTE;75
RO-PRIMAVERA DA RONDONIA;78
RO-SAO FELIPE D OESTE;89
RO-SAO FRANCISCO DO GUAPORE;186
RO-SERINGUEIRAS;68
RO-TEIXEIROPOLIS;37
RO-THEOBROMA;279
RO-URUPA;230
RO-VALE DO ANARI;168
RO-VALE DO PARAISO;200
RO-IGNORADO;0
AC-ACRELANDIA;177
AC-ASSIS BRASIL;118
AC-BRASILEIA;335
AC-BUJARI;273
AC-CAPIXABA;95
AC-CRUZEIRO DO SUL;2059
AC-EPITACIOLANDIA;167
AC-FEIJO;382
AC-JORDAO;0
AC-MANCIO LIMA;146
AC-MANOEL URBANO;67
AC-MARECHAL THAUMATURGO;115
AC-PLACIDO DE CASTRO;259
AC-PORTO WALTER;94
AC-RIO BRANCO;53565
AC-RODRIGUES ALVES;136
AC-SANTA ROSA DO PURUS;297
AC-SENADOR GUIOMARD;410
AC-SENA MADUREIRA;510
AC-TARAUACA;486
AC-XAPURI;356
AC-PORTO ACRE;129
AC-IGNORADO;0
AM-ALVARAES;96
AM-AMATURA;181
AM-ANAMA;1
AM-ANORI;18
AM-APUI;287
AM-ATALAIA DO NORTE;3
AM-AUTAZES;62
AM-BARCELOS;113
AM-BARREIRINHA;113
AM-BENJAMIN CONSTANT;370
AM-BERURI;1
AM-BOA VISTA DO RAMOS;101
AM-BOCA DO ACRE;247
AM-BORBA;198
AM-CAAPIRANGA;197
AM-CANUTAMA;2
AM-CARAUARI;440
AM-CAREIRO;357
AM-CAREIRO DA VARZEA;7
AM-COARI;2393
AM-CODAJAS;138
AM-EIRUNEPE;155
AM-ENVIRA;43
AM-FONTE BOA;79
AM-GUAJARA;8
AM-HUMAITA;1016
AM-IPIXUNA;124
AM-IRANDUBA;891
AM-ITACOATIARA;3742
AM-ITAMARATI;3
AM-ITAPIRANGA;142
AM-JAPURA;1
AM-JURUA;1
AM-JUTAI;8
AM-LABREA;155
AM-MANACAPURU;600
AM-MANAQUIRI;1186
AM-MANAUS;215714
AM-MANICORE;329
AM-MARAA;1
AM-MAUES;808
AM-NHAMUNDA;256
AM-NOVA OLINDA DO NORTE;335
AM-NOVO AIRAO;28
AM-NOVO ARIPUANA;23
AM-PARINTINS;584
AM-PAUINI;74
AM-PRESIDENTE FIGUEIREDO;2480
AM-RIO PRETO DA EVA;301
AM-SANTA ISABEL DO RIO NEGRO;17
AM-SANTO ANTONIO DO ICA;13
AM-SAO GABRIEL DA CACHOEIRA;430
AM-SAO PAULO DE OLIVENCA;22
AM-SAO SEBASTIAO DO UATUMA;10
AM-SILVES;32
AM-TABATINGA;195
AM-TAPAUA;195
AM-TEFE;1055
AM-TONANTINS;1
AM-UARINI;3
AM-URUCARA;205
AM-URUCURITUBA;437
AM-IGNORADO;0
RR-AMAJARI;0
RR-ALTO ALEGRE;48
RR-BOA VISTA;25123
RR-BONFIM;19
RR-CANTA;36
RR-CARACARAI;351
RR-CAROEBE;0
RR-IRACEMA;18
RR-MUCAJAI;65
RR-NORMANDIA;2
RR-PACARAIMA;17
RR-RORAINOPOLIS;5
RR-SAO JOAO DA BALIZA;12
RR-SAO LUIZ;51
RR-UIRAMUTA;0
RR-IGNORADO;0
PA-ABAETETUBA;2000
PA-ABEL FIGUEIREDO;111
PA-ACARA;510
PA-AFUA;306
PA-AGUA AZUL DO NORTE;156
PA-ALENQUER;518
PA-ALMEIRIM;5858
PA-ALTAMIRA;2717
PA-ANAJAS;23
PA-ANANINDEUA;19997
PA-ANAPU;0
PA-AUGUSTO CORREA;269
PA-AURORA DO PARA;378
PA-AVEIRO;134
PA-BAGRE;5
PA-BAIAO;102
PA-BANNACH;1
PA-BARCARENA;5361
PA-BELEM;261582
PA-BELTERRA;1410
PA-BENEVIDES;1343
PA-BOM JESUS DO TOCANTINS;3114
PA-BONITO;16
PA-BRAGANCA;1386
PA-BRASIL NOVO;88
PA-BREJO GRANDE DO ARAGUAIA;377
PA-BREU BRANCO;568
PA-BREVES;2188
PA-BUJARU;263
PA-CACHOEIRA DO PIRIA;3
PA-CACHOEIRA DO ARARI;347
PA-CAMETA;787
PA-CANAA DOS CARAJAS;100
PA-CAPANEMA;2704
PA-CAPITAO POCO;488
PA-CASTANHAL;9738
PA-CHAVES;316
PA-COLARES;2
PA-CONCEICAO DO ARAGUAIA;1109
PA-CONCORDIA DO PARA;670
PA-CUMARU DO NORTE;286
PA-CURIONOPOLIS;288
PA-CURRALINHO;119
PA-CURUA;10
PA-CURUCA;294
PA-DOM ELISEU;1753
PA-ELDORADO DOS CARAJAS;403
PA-FARO;150
PA-FLORESTA DO ARAGUAIA;221
PA-GARRAFAO DO NORTE;34
PA-GOIANESIA DO PARA;239
PA-GURUPA;19
PA-IGARAPE-ACU;517
PA-IGARAPE-MIRI;719
PA-INHANGAPI;207
PA-IPIXUNA DO PARA;275
PA-IRITUIA;311
PA-ITAITUBA;3276
PA-ITUPIRANGA;130
PA-JACAREACANGA;28
PA-JACUNDA;1109
PA-JURUTI;128
PA-LIMOEIRO DO AJURU;20
PA-MAE DO RIO;258
PA-MAGALHAES BARATA;189
PA-MARABA;8302
PA-MARACANA;170
PA-MARAPANIM;448
PA-MARITUBA;1969
PA-MEDICILANDIA;503
PA-MELGACO;7
PA-MOCAJUBA;23
PA-MOJU;1498
PA-MONTE ALEGRE;803
PA-MUANA;332
PA-NOVA ESPERANCA DO PIRIA;72
PA-NOVA IPIXUNA;68
PA-NOVA TIMBOTEUA;416
PA-NOVO PROGRESSO;283
PA-NOVO REPARTIMENTO;219
PA-OBIDOS;787
PA-OEIRAS DO PARA;196
PA-ORIXIMINA;3334
PA-OUREM;247
PA-OURILANDIA DO NORTE;220
PA-PACAJA;60
PA-PALESTINA DO PARA;103
PA-PARAGOMINAS;7204
PA-PARAUAPEBAS;5932
PA-PAU D ARCO;13
PA-PEIXE-BOI;106
PA-PICARRA;241
PA-PLACAS;5
PA-PONTA DE PEDRAS;407
PA-PORTEL;436
PA-PORTO DE MOZ;45
PA-PRAINHA;423
PA-PRIMAVERA;307
PA-QUATIPURU;199
PA-REDENCAO;3343
PA-RIO MARIA;457
PA-RONDON DO PARA;2372
PA-RUROPOLIS;221
PA-SALINOPOLIS;798
PA-SALVATERRA;291
PA-SANTA BARBARA DO PARA;1067
PA-SANTA CRUZ DO ARARI;32
PA-SANTA ISABEL DO PARA;3223
PA-SANTA LUZIA DO PARA;278
PA-SANTA MARIA DAS BARREIRAS;118
PA-SANTA MARIA DO PARA;410
PA-SANTANA DO ARAGUAIA;863
PA-SANTAREM;11065
PA-SANTAREM NOVO;8
PA-SANTO ANTONIO DO TAUA;787
PA-SAO CAETANO DE ODIVELAS;559
PA-SAO DOMINGOS DO ARAGUAIA;31
PA-SAO DOMINGOS DO CAPIM;693
PA-SAO FELIX DO XINGU;131
PA-SAO FRANCISCO DO PARA;276
PA-SAO GERALDO DO ARAGUAIA;277
PA-SAO JOAO DA PONTA;90
PA-SAO JOAO DE PIRABAS;345
PA-SAO JOAO DO ARAGUAIA;14
PA-SAO MIGUEL DO GUAMA;1823
PA-SAO SEBASTIAO DA BOA VISTA;59
PA-SAPUCAIA;58
PA-SENADOR JOSE PORFIRIO;350
PA-SOURE;477
PA-TAILANDIA;1992
PA-TERRA ALTA;163
PA-TERRA SANTA;38
PA-TOME-ACU;2032
PA-TRACUATEUA;227
PA-TRAIRAO;150
PA-TUCUMA;193
PA-TUCURUI;4860
PA-ULIANOPOLIS;1367
PA-URUARA;421
PA-VIGIA;571
PA-VISEU;928
PA-VITORIA DO XINGU;9
PA-XINGUARA;1569
PA-IGNORADO;0
AP-SERRA DO NAVIO;205
AP-AMAPA;208
AP-PEDRA BRANCA DO AMAPARI;47
AP-CALCOENE;68
AP-CUTIAS;136
AP-FERREIRA GOMES;118
AP-ITAUBAL;17
AP-LARANJAL DO JARI;323
AP-MACAPA;37937
AP-MAZAGAO;315
AP-OIAPOQUE;160
AP-PORTO GRANDE;672
AP-PRACUUBA;28
AP-SANTANA;3344
AP-TARTARUGALZINHO;213
AP-VITORIA DO JARI;77
AP-IGNORADO;0
TO-ABREULANDIA;2
TO-AGUIARNOPOLIS;93
TO-ALIANCA DO TOCANTINS;247
TO-ALMAS;124
TO-ALVORADA;454
TO-ANANAS;129
TO-ANGICO;47
TO-APARECIDA DO RIO NEGRO;23
TO-ARAGOMINAS;131
TO-ARAGUACEMA;124
TO-ARAGUACU;580
TO-ARAGUAINA;8210
TO-ARAGUANA;48
TO-ARAGUATINS;362
TO-ARAPOEMA;236
TO-ARRAIAS;263
TO-AUGUSTINOPOLIS;314
TO-AURORA DO TOCANTINS;4
TO-AXIXA DO TOCANTINS;154
TO-BABACULANDIA;178
TO-BANDEIRANTES DO TOCANTINS;6
TO-BARRA DO OURO;12
TO-BARROLANDIA;138
TO-BERNARDO SAYAO;98
TO-BOM JESUS DO TOCANTINS;62
TO-BRASILANDIA DO TOCANTINS;60
TO-BREJINHO DE NAZARE;136
TO-BURITI DO TOCANTINS;36
TO-CACHOEIRINHA;35
TO-CAMPOS LINDOS;87
TO-CARIRI DO TOCANTINS;249
TO-CARMOLANDIA;62
TO-CARRASCO BONITO;46
TO-CASEARA;119
TO-CENTENARIO;1
TO-CHAPADA DE AREIA;61
TO-CHAPADA DA NATIVIDADE;7
TO-COLINAS DO TOCANTINS;1403
TO-COMBINADO;61
TO-CONCEICAO DO TOCANTINS;4
TO-COUTO DE MAGALHAES;27
TO-CRISTALANDIA;408
TO-CRIXAS DO TOCANTINS;56
TO-DARCINOPOLIS;28
TO-DIANOPOLIS;478
TO-DIVINOPOLIS DO TOCANTINS;232
TO-DOIS IRMAOS DO TOCANTINS;102
TO-DUERE;170
TO-ESPERANTINA;1
TO-FATIMA;57
TO-FIGUEIROPOLIS;274
TO-FILADELFIA;134
TO-FORMOSO DO ARAGUAIA;1427
TO-FORTALEZA DO TABOCAO;124
TO-GOIANORTE;33
TO-GOIATINS;188
TO-GUARAI;968
TO-GURUPI;7624
TO-IPUEIRAS;2
TO-ITACAJA;95
TO-ITAGUATINS;73
TO-ITAPIRATINS;12
TO-ITAPORA DO TOCANTINS;134
TO-JAU DO TOCANTINS;73
TO-JUARINA;1
TO-LAGOA DA CONFUSAO;298
TO-LAGOA DO TOCANTINS;39
TO-LAJEADO;42
TO-LAVANDEIRA;0
TO-LIZARDA;4
TO-LUZINOPOLIS;16
TO-MARIANOPOLIS DO TOCANTINS;201
TO-MATEIROS;23
TO-MAURILANDIA DO TOCANTINS;34
TO-MIRACEMA DO TOCANTINS;1496
TO-MIRANORTE;496
TO-MONTE DO CARMO;141
TO-MONTE SANTO DO TOCANTINS;22
TO-PALMEIRAS DO TOCANTINS;46
TO-MURICILANDIA;69
TO-NATIVIDADE;125
