Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Ro-Alta Floresta D Oeste;280;308;309;325;313;401;389;375;347;272;262;283;217;278;294;305;264;218;273;253;5966
Ro-Ariquemes;2606;2508;2765;2840;2850;3016;2991;3575;3588;3282;3474;3419;2867;2883;2780;2882;2755;2767;2579;2405;58832
Ro-Cabixi;41;82;73;84;94;91;59;62;54;46;54;60;35;10;22;28;19;42;41;36;1033
Ro-Cacoal;2726;2703;2658;2769;2641;2777;2887;2819;2811;2705;2776;2999;2813;2851;2731;2642;2649;2439;2416;2166;53978
Ro-Cerejeiras;232;207;210;266;272;268;315;265;283;342;332;297;329;256;219;194;175;205;227;268;5162
Ro-Colorado do Oeste;411;401;398;409;410;455;405;394;394;409;430;293;505;451;458;394;352;297;244;186;7696
Ro-Corumbiara;48;48;47;48;117;100;62;76;57;31;87;98;93;57;54;55;103;106;70;35;1392
Ro-Costa Marques;34;19;22;20;33;43;77;104;75;103;121;75;137;124;152;71;188;130;71;45;1644
Ro-Espigao D Oeste;1587;1431;1233;1503;1533;1480;1528;1507;1366;1159;1231;1201;1288;1176;1179;1026;724;872;785;893;24702
Ro-Guajara-Mirim;193;217;186;192;160;171;192;204;127;131;104;88;95;68;72;95;65;50;107;97;2614
Ro-Jaru;3094;3198;3256;3044;3134;3009;2975;2832;2822;2624;2511;2366;2153;2315;2511;2281;2224;2157;1874;2081;52461
Ro-Ji-Parana;4847;5562;5422;5804;5453;4678;4770;5055;4508;4092;4067;4027;4886;4322;3968;3611;3330;3309;3341;3056;88108
Ro-Machadinho D Oeste;188;206;190;386;420;449;465;417;432;455;470;517;410;397;589;599;627;689;479;392;8777
Ro-Nova Brasilandia D Oeste;200;152;135;100;131;80;97;135;140;174;199;116;108;128;116;121;119;142;119;83;2595
Ro-Ouro Preto do Oeste;595;545;454;414;485;534;563;587;595;526;523;548;539;556;561;587;538;545;490;508;10693
Ro-Pimenta Bueno;2632;2553;2644;2421;2343;2267;2677;2638;2666;2479;1832;1883;1766;1406;1461;1334;1512;1382;1323;1135;40354
Ro-Porto Velho;9318;9186;9360;8697;8760;8966;8812;10292;9984;9115;8100;8648;7554;6933;6925;5989;5655;5567;4809;4805;157475
Ro-Presidente Medici;503;531;540;519;450;412;474;484;540;361;298;292;278;237;232;229;193;170;148;151;7042
Ro-Rio Crespo;32;51;57;81;71;67;73;74;92;113;63;78;22;47;79;7;9;8;2;0;1026
Ro-Rolim de Moura;3056;3057;2984;2726;2833;2383;2235;3337;3424;3163;2554;1706;1411;2568;2687;2067;943;927;874;1537;46472
Ro-Santa Luzia D Oeste;72;129;105;133;181;207;237;227;187;160;193;186;178;181;236;75;74;61;66;67;2955
Ro-Vilhena;3288;3542;3443;3312;3322;3206;3507;3185;3167;3055;3493;2704;2757;2762;2748;2480;2244;2508;2177;2290;59190
Ro-Sao Miguel do Guapore;1020;1011;961;1023;1017;945;1005;879;1010;1471;709;746;480;160;174;121;183;224;166;167;13472
Ro-Nova Mamore;83;84;96;109;111;135;200;288;305;254;361;269;301;288;359;155;352;306;270;220;4546
Ro-Alvorada D Oeste;58;39;48;59;63;81;90;114;113;102;99;103;87;63;157;115;167;158;140;186;2042
Ro-Alto Alegre dos Parecis;29;20;29;31;44;44;72;49;58;59;66;62;57;63;44;53;66;59;78;69;1052
Ro-Alto Paraiso;56;82;126;159;210;225;214;272;318;305;322;248;234;225;251;191;205;214;179;180;4216
Ro-Buritis;313;353;367;432;491;502;841;569;561;561;719;649;481;640;847;833;622;596;655;870;11902
Ro-Novo Horizonte do Oeste;21;70;92;98;95;86;76;71;73;63;68;73;65;78;86;74;94;72;57;33;1445
Ro-Cacaulandia;18;22;0;31;30;2;2;0;0;1;0;0;0;2;0;0;4;3;9;11;135
Ro-Campo Novo de Rondonia;1;1;0;0;0;17;1;8;20;19;42;36;20;20;28;68;107;70;104;148;710
Ro-Candeias do Jamari;212;223;272;362;307;316;340;275;299;226;265;254;220;216;162;138;124;113;63;50;4437
Ro-Castanheiras;0;0;0;66;72;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;141
Ro-Chupinguaia;1047;1046;1114;1169;1152;75;946;699;550;737;663;749;644;352;446;365;15;48;74;56;11947
Ro-Cujubim;235;207;213;238;301;378;683;794;904;780;724;755;563;587;728;499;373;427;330;216;9935
Ro-Governador Jorge Teixeira;3;3;8;8;8;9;9;11;8;8;11;10;29;27;34;36;29;35;32;33;351
Ro-Itapua do Oeste;412;405;339;318;443;430;390;305;420;340;341;231;125;219;285;166;194;219;226;163;5971
Ro-Ministro Andreazza;132;121;122;141;110;105;132;149;132;133;111;123;115;138;172;103;113;82;32;34;2300
Ro-Mirante da Serra;260;263;267;201;197;169;192;176;173;148;143;151;121;128;123;98;80;111;135;144;3280
Ro-Monte Negro;133;129;135;150;142;124;156;193;199;384;251;195;185;135;157;125;170;118;138;102;3321
Ro-Nova Uniao;0;1;0;4;6;4;7;7;7;9;8;9;9;9;9;10;11;17;18;19;164
Ro-Parecis;31;30;31;37;35;37;26;26;52;46;28;42;67;59;36;22;24;28;15;11;683
Ro-Pimenteiras do Oeste;4;5;4;3;7;14;17;13;19;5;8;7;0;3;8;3;8;11;11;11;161
Ro-Primavera de Rondonia;8;5;0;7;7;0;4;4;18;0;5;0;0;0;0;12;46;10;1;1;128
Ro-Sao Felipe D Oeste;5;3;2;1;1;0;5;5;4;1;1;1;1;1;0;0;0;0;1;2;34
Ro-Sao Francisco do Guapore;41;44;41;108;130;126;137;143;148;161;161;100;206;171;235;230;328;249;165;283;3207
Ro-Seringueiras;136;133;109;107;132;127;164;163;173;114;155;136;107;88;101;78;83;100;62;82;2350
Ro-Teixeiropolis;44;39;58;48;94;114;125;133;131;125;111;98;75;62;61;58;52;58;43;32;1561
