Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Ro-Alta Floresta D Oeste;40;57;43;100;129;147;67;107;116;122;52;44;47;26;17;0;34;49;51;27;1275
Ro-Ariquemes;446;393;378;478;494;560;630;1154;1266;723;568;557;735;408;385;229;148;163;85;225;10025
Ro-Cabixi;0;0;0;0;1;0;0;16;0;0;0;2;0;0;0;0;0;0;0;2;21
Ro-Cacoal;579;699;703;961;772;799;1101;1174;948;1816;696;768;679;415;534;351;313;309;417;318;14352
Ro-Cerejeiras;21;15;13;28;16;9;37;149;34;417;80;163;61;38;24;20;28;6;14;14;1187
Ro-Colorado do Oeste;50;52;58;65;56;72;66;97;52;32;39;41;84;19;30;28;51;40;39;23;994
Ro-Corumbiara;10;7;10;9;8;9;17;8;5;0;9;2;2;1;0;9;8;5;24;0;143
Ro-Costa Marques;1;0;0;1;0;1;0;2;4;34;18;0;0;0;0;1;27;0;0;0;89
Ro-Espigao D Oeste;99;97;161;94;87;127;142;140;53;83;26;17;49;51;13;13;67;16;7;13;1355
Ro-Guajara-Mirim;101;31;8;18;14;23;8;23;17;9;39;10;17;1;5;16;11;3;10;24;388
Ro-Jaru;192;190;189;294;282;120;141;217;249;316;778;212;86;89;114;103;51;54;86;57;3820
Ro-Ji-Parana;663;917;2056;999;1026;1362;1604;1576;1621;1888;1906;1315;1030;785;734;663;537;498;301;471;21952
Ro-Machadinho D Oeste;16;18;16;24;28;27;26;30;25;35;47;36;36;0;0;17;7;1;1;0;390
Ro-Nova Brasilandia D Oeste;61;52;50;30;41;41;32;50;29;24;22;23;18;39;8;8;11;9;2;7;557
Ro-Ouro Preto do Oeste;406;472;637;439;466;357;136;140;205;241;416;256;145;98;119;59;52;13;40;154;4851
Ro-Pimenta Bueno;168;265;197;183;145;143;201;204;213;285;175;284;317;206;267;210;197;208;129;121;4118
Ro-Porto Velho;4445;4037;3872;4478;5297;6918;14181;23032;27857;35089;36138;38003;22792;6545;3373;3274;2708;2304;2126;3462;249931
Ro-Presidente Medici;30;99;58;26;23;38;49;37;34;58;24;34;51;98;25;7;13;10;3;24;741
Ro-Rio Crespo;10;2;0;6;20;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;50
Ro-Rolim de Moura;315;311;208;263;1048;1073;960;491;365;428;320;300;860;791;267;227;87;164;98;66;8642
Ro-Santa Luzia D Oeste;1;3;1;14;8;9;17;15;4;6;21;29;7;3;8;28;3;132;0;1;310
Ro-Vilhena;464;410;389;611;666;622;659;1503;966;589;577;382;403;351;303;525;149;111;425;316;10421
Ro-Sao Miguel do Guapore;17;57;19;213;9;7;33;37;46;41;14;14;1;8;14;13;6;8;3;5;565
Ro-Nova Mamore;11;10;13;7;6;4;2;6;0;1;17;23;7;0;0;0;1;0;3;0;111
Ro-Alvorada D Oeste;8;23;16;9;9;12;8;17;37;24;83;32;65;3;0;5;0;4;0;11;366
Ro-Alto Alegre dos Parecis;25;26;22;11;8;9;5;16;10;6;7;3;0;0;0;5;0;0;0;1;154
Ro-Alto Paraiso;33;7;3;17;20;21;38;22;12;15;16;7;7;0;0;0;0;5;0;3;226
Ro-Buritis;40;26;44;41;32;34;32;46;46;26;13;11;12;15;30;7;8;6;5;1;475
Ro-Novo Horizonte do Oeste;48;36;35;23;27;18;5;19;11;3;9;6;1;1;0;0;0;0;0;0;242
Ro-Cacaulandia;0;0;0;0;1;1;0;4;5;0;0;1;0;0;0;0;0;0;0;0;12
Ro-Campo Novo de Rondonia;1;1;3;1;1;7;5;5;4;3;7;8;10;11;3;2;1;0;0;0;73
Ro-Candeias do Jamari;12;5;6;14;22;25;29;39;64;6;14;6;2;2;1;3;2;1;2;34;289
Ro-Castanheiras;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ro-Chupinguaia;4;4;13;18;7;7;11;17;6;4;9;5;1;2;2;0;0;0;55;0;165
Ro-Cujubim;4;5;3;33;35;1;26;51;12;21;21;16;12;10;0;4;10;0;0;0;264
Ro-Governador Jorge Teixeira;3;0;4;1;1;3;7;3;0;0;0;0;0;0;0;1;0;0;0;0;23
Ro-Itapua do Oeste;20;2;4;6;6;8;18;29;29;34;25;38;30;80;28;64;53;7;0;0;481
Ro-Ministro Andreazza;2;1;0;0;2;5;4;8;9;3;0;0;24;0;0;0;3;1;0;5;67
Ro-Mirante da Serra;8;6;4;5;1;4;3;2;2;4;13;15;0;0;0;0;2;2;2;3;76
Ro-Monte Negro;15;29;29;13;11;20;18;36;79;61;33;7;1;1;3;4;0;2;2;2;366
Ro-Nova Uniao;3;3;5;12;8;3;1;0;0;0;0;0;0;0;0;0;0;0;3;12;50
Ro-Parecis;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
Ro-Pimenteiras do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Primavera de Rondonia;0;0;0;1;2;1;0;2;1;2;6;20;3;0;0;0;0;0;2;0;40
Ro-Sao Felipe D Oeste;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;3
Ro-Sao Francisco do Guapore;26;8;10;14;9;12;26;21;23;11;5;39;4;14;0;0;0;0;0;0;222
Ro-Seringueiras;1;2;1;7;10;7;5;2;6;0;0;0;0;0;0;0;0;0;2;36;79
Ro-Teixeiropolis;1;4;1;2;13;3;12;0;0;8;9;0;0;0;0;0;0;0;0;1;54
Ro-Theobroma;0;0;0;0;0;0;0;0;0;0;2;11;0;0;0;0;0;1;6;15;35
Ro-Urupa;15;7;5;18;20;15;14;21;9;17;12;10;79;43;3;9;23;1;3;0;324
Ro-Vale do Anari;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Ro-Vale do Paraiso;4;0;1;0;0;9;16;5;3;0;0;1;2;3;1;2;0;0;0;0;47
Ro-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ac-Acrelandia;0;0;0;0;0;0;0;2;0;1;8;13;10;10;12;0;0;0;0;0;56
Ac-Assis Brasil;0;0;0;1;5;0;0;0;6;0;0;0;0;0;0;1;0;16;0;0;29
Ac-Brasileia;7;9;10;22;12;5;5;7;2;0;0;0;2;0;14;12;10;19;0;0;136
Ac-Bujari;10;3;0;0;0;0;3;0;0;0;0;0;7;11;1;2;0;0;2;6;45
Ac-Capixaba;0;0;0;0;0;0;0;0;0;27;40;64;0;2;0;0;0;0;0;0;133
Ac-Cruzeiro do Sul;313;237;721;489;376;399;463;611;781;791;462;571;571;288;161;77;69;123;93;81;7677
Ac-Epitaciolandia;43;1;7;2;0;4;11;13;3;9;7;21;9;4;5;2;3;15;3;3;165
Ac-Feijo;80;29;33;44;52;38;44;75;32;17;76;116;130;85;76;23;32;23;32;20;1057
Ac-Jordao;0;2;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Ac-Mancio Lima;12;4;7;4;6;0;8;17;24;17;30;25;32;17;0;13;0;0;1;0;217
Ac-Manoel Urbano;17;0;0;26;98;0;17;1;2;0;7;20;34;28;3;0;0;0;0;4;257
Ac-Marechal Thaumaturgo;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Ac-Placido de Castro;0;0;0;0;0;4;10;40;83;54;9;2;1;0;0;0;0;0;0;0;203
Ac-Porto Walter;2;0;2;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;9
Ac-Rio Branco;4948;4889;4253;4706;5028;3957;4945;7569;6782;6736;6138;7469;7437;5491;4464;4476;3452;2691;2165;2763;100359
