Coluna;IBGE Gr Setor
Ano;1 - Indústria;2 - Construção Civil;3 - Comércio;4 - Serviços;5 - Agropecuária;{ñ class};Total
2021;8334269;2150249;9519763;27195647;1528943;0;48728871
2020;7871409;1970686;9054514;25878110;1461457;0;46236176
2019;7801486;1850749;9221315;26373761;1469181;0;46716492
2018;7748829;1861846;9219684;26309316;1491440;0;46631115
2017;7742970;1838958;9230750;25967860;1501052;0;46281590
2016;7798779;1985404;9264904;25534892;1476219;0;46060198
2015;8254773;2422664;9532622;26350187;1500561;0;48060807
2014;8878726;2815686;9728107;26669328;1479663;0;49571510
2013;8998796;2892557;9511094;26066422;1479564;0;48948433
2012;8830902;2832570;9226155;25104828;1464257;0;47458712
2011;8757935;2750173;8842677;24476056;1483790;0;46310631
2010;8499202;2508922;8382239;23268395;1409597;0;44068355
2009;7955299;2132288;7692951;21999359;1427649;0;41207546
2008;7891146;1914596;7324108;20891553;1420100;63;39441566
2007;7632278;1617989;6840915;20134178;1382070;0;37607430
2006;7122536;1393446;6330341;18951696;1357230;0;35155249
2005;6623012;1245395;6005189;18054701;1310320;0;33238617
2004;6395084;1118570;5587263;17001020;1305639;0;31407576
2003;5798033;1048251;5119479;16370539;1207672;953;29544927
2002;5642941;1106350;4826533;15969854;1138235;0;28683913
{ñ class};n/d;n/d;n/d;n/d;n/d;n/d;n/d
Total;154578405;39457349;160460603;458567702;28294639;1016;841359714

Seleções vigentes
Variável;Critério;Valor
Ind Rais Negativa;igual a;Não
